0.049,0.052
1.51,0.23
0.036,0.013
0.081,0.039
0.017,0.015
0.041,0.021
0.228,0.047
0.003,0.018
0.29,0.12
0.051,0.248
0.326,0.157
0.014,0.01
0.092,0.096
1.61,0.26
0.28,0.1
0.029,0.045
0.044,0.028
0.108,0.161
0.0381,0.0258
0.202,0.336
4.28,1.54
0.147,0.162
0.015,0.082
0.008,0.054
0.023,0.048
0.6,1.64
0.0511,0.0259
0.031,0.117
0.037,0.055
0.069,0.107
0.186,0.096
0.053,0.058
2.03,1.11
0.115,0.094
0.109,0.0259
0.046,0.116
0.19,0.13
0.214,0.116
0.001,0.411
0.225,0.175
0.025,0.116
0.26,1.64
0.0043,0.552
0.405,0.202
0.189,0.076
0.892,0.182
0.217,0.119
4.14,1.52
1,2.9411765
1,0.38314176
0.28,1.55
0.28,1.51
0.141,0.062
0.001,0.032
0.96,0.202
0.103,0.077
0.194,0.176
0.112,0.069
2.129,1.125
0.073,0.15
0.043,0.063
0.043,0.133
0.32,0.306
0.031,0.092
0.31,0.157
0.00239,0.0243
0.375,0.0264
0.073,0.142
1,0.30487805
0.0501,0.0244
0.024,0.096
0.044,0.301
1.954,1.075
0.222,0.582
0.142,0.112
0.089,0.03
0.173,0.133
0.287,0.168
0.34,1.59
1.11,1.67
0.475,0.162
0.227,0.597
0.341,0.161
0.0164,0.0205
0.14,1.67
0.00558,0.0205
3.83,1.52
0.091,0.148
0.157,0.09
3.544,1.007
0.046,0.055
2.41,1.14
0.121,0.072
0.09,0.146
0.389,0.193
0.026,0.089
0.0244,0.0206
1.271,0.22
0.094,0.106
0.095,0.077
0.016,0.063
0.176,0.077
0.467,0.151
0.316,0.0263
0.285,0.161
0.0239,0.0209
2.925,0.949
0.0247,0.0206
0.146,0.105
0.051,0.088
0.1,0.127
0.028,0.047
1.212,0.208
0.64,1.62
0.0313,0.0208
0.227,0.35
3.92,1.5
0.0278,0.0346
0.0236,0.0688
0.0119,0.0289
0.0547,0.0311
0.0582,0.0203
0.00257,0.0313
1,3.2258065
0.0602,0.0236
0.153,0.0673
0.0421,0.0275
0.00428,0.0902
0.187,0.0791
1,0.63011972
0.139,0.0616
0.163,0.0614
0.00168,0.0266
1,0.95238095
0.089,0.051
0.122,0.046
0.5241,0.0173
0.5652,0.0137
0.5245,0.0172
0.5247,0.0172
0.09,0.065
0.5233,0.0173
0.1,0.042
0.5247,0.0172
0.106,0.038
0.5238,0.0172
0.109,0.047
0.151,0.055
5.15,0.402
0.344,0.16
0.029,0.01
5e-04,0.0015
0.106,0.038
0.2,0.11
0.4,0.161
0.122,0.046
0.071,0.021
0.045,0.024
2e-04,0.0014
0.158,0.053
4.293,0.603
2e-04,0.0015
5.233,0.363
4.467,0.755
0.08,0.033
1e-04,0.0016
0.09,0.032
0.0011,0.0015
0.089,0.051
0.0011,0.0015
1e-04,0.0014
0.03,0.01
8e-04,0.0015
8e-04,0.0014
0.042,0.026
0.063,0.024
0.182,0.111
0.325,0.12
0.369,0.11
0.063,0.0023
0.0044,0.0018
0.0046,0.0018
0.0048,0.0028
0.0056,0.0024
0.0049,0.0017
0.005,0.0019
0.0053,0.0019
0.0043,0.0016
0,4e-04
0.0016,0.0016
8e-04,0.001
0.0011,0.0017
3e-04,5e-04
0.0037,0.0021
7e-04,0.001
0.0043,0.0016
0.0022,0.0017
6e-04,0.0018
0.0025,0.0024
0.0011,0.0015
8e-04,0.0014
0.0014,0.0027
0.0024,0.0022
0.0017,0.0012
0.0044,0.0018
0.0094,0.0026
0.0032,0.0016
0.0042,0.0018
0.0035,0.0015
0.0037,0.0021
0.0073,0.0024
0.0031,0.0019
0.0046,0.0018
43.57,186
0.183,0.0619
509.4,183.8
0.0536,0.0587
2.555,2.025
534,262
0.178,0.0464
3.275,1.045
59.89,21.93
7.756,10.88
0.0595,0.0681
284.4,276.5
55.96,18.83
0.116,0.0701
64.92,195.1
0.0836,0.0599
0.0383,0.0644
0.101,0.0346
165,250.3
8.04,224.8
45.6,185.7
108.4,27.21
3.26,1.155
0.0166,0.0691
0.00546,0.0636
0.119,0.0643
0.0441,0.0666
0.157,0.0481
0.00842,0.0184
0.0817,0.0528
0.115,0.0366
5.144,1.866
0.03,0.01
0.04,0.02
0.25,0.12
0.127,0.02
0.03,0.02
364.8,30.9
0.026,0.03
0.002,0.029
1.839,0.6283
0,0.004
0.56,0.06
0.68,0.07
112,169
0.019,0.039
0.076,0.017
2.697,4.789
7.174,5.575
0.04,0.02
0.12,0.04
21,29
0.7068,8.036
0.04,0.02
0.09,0.05
479,444.8
15.52,2.417
0.135,0.044
0.0298,0.0332
0.4319,0.9774
0.002,0.018
217,628
0.291,0.082
33,13
0.08,0.04
361034,43585
365932,44233
0.252,0.058
3.6,8.5
27.4,56.1
0.006,0.022
0.357,0.093
0.21,0.06
0.09,0.01
457,150
0.007,0.021
0.38,0.085
0.084,0.041
0.081,0.025
61.8,130
3.552,1.421
0.0936,0.0419
0.069,0.009
0.06,0.02
0.002,0.005
0.09,0.05
0.15,0.02
0.2577,0.041
0.0809,0.0397
0.011,0.002
1206,290
0.7967,0.786
0.09,0.02
0.167,0.012
0.07,0.03
1.236,1.161
0,0.01
0.141,0.026
75,2163
462.7,94.1
0.1,0.03
0.252,0.064
0.3,0.1
0.106,0.0291
386.8,210.5
0.04,0.04
0.16,0.06
0.03,0.11
4.653,8.248
368,84
0.0288,0.0253
0.09,0.02
0.408,0.078
0.95,0.13
0.06,0.026
0.071,0.026
0.03,0.03
0.0318,0.0362
0.003,0.007
0.082,0.008
0,0.03
3.34,1.805
0.508,0.051
0.003,0.012
0.003,0.01
0.87,0.13
2856,4548
0.01,0.05
0.12,0.05
0.023,0.014
356,181
94,336
0.753,0.009
0.001,0.009
0.6,54
458,120
2.569,1.185
0.18,0.02
0.017,0.017
318.2,169.8
0.0256,0.0331
0.011,0.01
158,2940
0.09,0.15
0.003,0.9224
0.444,0.109
0.085,0.067
0.051,0.011
799,669
0.012,0.024
0.278,0.0845
0.09,0.05
0.2,0.02
1.855,2.192
0.21,0.04
0.0491,0.7914
306.6,67.8
795,103
10714,6317
3.289,1.095
0.753,0.009
1.487,1.29
0.14,0.06
5e-04,1.221
0.1836,1.17
0.439,0.0289
1.74,0.5855
0.119,0.03
4.137,1.871
0.05,0.01
0.073,0.017
0.53,0.08
2554,6156
134,32
3.247,0.765
180,89
0.908,1.324
13,34
959.5,438.2
0.1995,1.367
0.0556,0.0166
0.06,0.02
0.193,0.0258
473.1,50
0.006,0.004
0.14,0.12
67.3,55.7
0.38,0.06
22.9,46.5
0.18,0.06
0.011,0.004
1181,1086
0.002,0.01
0.115,0.009
161.1,447.7
0.24,0.05
0.039,0.026
0.23,0.04
4.79,1.602
0.329,0.161
0.14,0.0259
1334,230
1069,2520
0.084,0.027
979,287
0.11,0.05
0.108,0.0933
0.429,0.065
0.2,0.03
0.007,0.003
2.253,0.7918
0.129,0.017
0.21,0.06
74130,79611
0.063,0.019
0.03,0.01
389,90
0.15,0.11
1286,439
0.04,0.02
0.07,0.02
0.009,0.008
0.052,0.021
629,74
574,101
89,258
197,199
277,174
80,60
55,64
1157,456
0.0513,0.02
0.014,0.018
47,129
1.7,20.7
0.04,0.02
0.0617,0.021
0.0815,0.0445
35.86,289.39
526,403
124.51,144.9
706,1324
0.0314,0.014
0.018,0.016
354,314
150.85,210.19
0.068,0.072
63,219
0.0531,0.0315
0.075,0.0708
177.5,311.8
0.01,0.02
573,414
5266,3720
0.135,0.048
1620,3257
0.007,0.0263
0.001,0.007
26.4,66.1
266.06,203.36
20.81,210.16
0.04,0.06
674,541
119,47
198,243
0.12,0.06
172.1,319.5
154,75
0,1
0.003,0.01
0.04,0.02
255,1056
2105,1100
0.02,0.01
0.06,0.05
