0.388,0.127
0.19,0.25
731.11,126.75
0.0401,0.0315
0.014,0.004
0.0247,0.309
3071.65,935.58
0.022,0.007
0.021,0.007
0.385,0.495
1.36,0.46
2769.39,530.96
702.83,113.96
0.86,0.19
0.11,0.015
3024.16,925.85
0.399,0.118
0.343,0.164
2665.08,564.79
0.114,0.016
0.396,0.128
0.23,0.16
0.111,0.015
710.52,113.75
0.0356,0.0426
0.229,0.11
0.386,0.127
0.115,0.016
0.34,0.2
0.36,0.11
718.16,122.69
0.014,0.004
1.86,0.49
0.55,0.3
0.0436,0.014
0.49,0.52
0.02,0.026
0.737,0.257
0.56,0.16
0.31,0.25
312.2,7463
1.979,0.708
6.124,2.194
0.311,0.509
0.003,0.004
43.35,5.129
0.005,0.005
0.142,0.566
0.237,0.024
0.013,0.00311
29.17,5.444
3.321,0.616
0.0165,0.0066
0.0494,0.0142
0.014,0.004
0.0186,0.00693
0.2462,0.818
0.24,0.0293
0.591,0.206
0.026,0.01
0.0265,0.00657
0.12,0.03
0.603,0.232
0.014,0.003
6.638,2.156
1.32,0.43
0.018,0.009
0.09,0.2
0.0104,0.0068
0.076,0.013
0.001,0.005
0.0042,0.0039
0.0048,0.0041
0.0118,0.0066
0.0104,0.00205
0.0013,0.002
0.0468,0.0142
0.008,0.004
0.0233,0.0128
0.012,0.004
1843,6859.3
0.95,0.71
0.03,0.028
0.008,0.02
0.01,0.003
0.005,0.006
8e-04,0.0044
1.4,0.74
0.0063,0.0226
0.01,0.005
0.102,0.019
0.912,0.172
0.075,0.013
0.26,0.55
0.008,0.005
0.93,0.24
0.64,0.24
0.02,0.006
8.862,2.226
0.76,0.22
0.79,0.47
2.327,0.629
0.49,0.47
0.14,0.21
0.0207,0.00848
47.13,5.602
0.003,0.004
0.014,0.007
0.049,0.0134
0.022,0.006
0.1884,0.1483
0.011,0.0116
0.107,0.034
0.009,0.004
0.548,0.216
0.005,0.007
0.0166,0.00526
0.077,0.015
1.11,0.35
2.03,0.539
0.0083,0.0062
0.01,0.006
0.002,0.005
0.0203,0.00859
1.446,0.699
0.66,0.35
0.024,0.006
0.02,0.006
0.038,0.007
0.0526,0.0135
0.079,0.015
3.74,0.758
0.104,0.018
2.004,0.829
0.04,0.012
0.0252,0.00662
0.12,0.2
0.007,0.023
0.0013,0.0025
0.096,0.036
0.0244,0.00915
0.122,0.03
0.024,0.007
0.015,0.005
0.02,0.01
0.03,0.0073
0.038,0.025
0.0281,0.00731
0.014,0.003
0.044,0.006
0.39,0.4
1.8,0.5
0.113,0.375
0.02,0.2
0.0275,0.00726
0.03,0.007
0.017,0.011
0.0134,0.00807
0.01,0.005
0.0475,0.0131
0.0243,0.00716
6.913,2.1
0.02,0.022
1.102,0.179
0.667,0.242
0.0227,0.00679
0.0443,0.0134
0.504,0.265
0.01,0.009
